,,2030,2030
,,min,max
country,carrier,,
AT,heat_pump-all,12361,13597
BE,heat_pump-all,7950,8745
BG,heat_pump-all,5090,5599
CZ,heat_pump-all,7368,8105
DK,heat_pump-all,6363,6999
EE,heat_pump-all,2271,2498
FI,heat_pump-all,14893,16382
FR,heat_pump-all,68819,75701
DE,heat_pump-all,52796,58076
GR,heat_pump-all,8696,9566
HU,heat_pump-all,1558,1714
IE,heat_pump-all,3565,3922
IT,heat_pump-all,97489,107238
LT,heat_pump-all,4002,4402
NL,heat_pump-all,15767,17344
NO,heat_pump-all,17246,18971
PL,heat_pump-all,17300,19030
PT,heat_pump-all,8637,9501
SK,heat_pump-all,1489,1638
SI,heat_pump-all,8595,9455
ES,heat_pump-all,39440,43384
SE,heat_pump-all,22743,25017
CH,heat_pump-all,11687,12856
GB,heat_pump-all,12643,13907
