Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Burshtyn 10,Hard Coal,coal,PP,UA,210,0.32,,0,0,0,1969,,,2041,49.21,24.667,,,,,,,,,
Kurakhov 4,Hard Coal,coal,PP,UA,210,0.32,,0,0,0,1973,,,2041,47.995,37.237,,,,,,,,,
Burshtyn 7,Hard Coal,coal,PP,UA,206,0.32,,0,0,0,1968,,,2041,49.21,24.667,,,,,,,,,
Pocerady I 2,Lignite,lignite,PP,CZ,200,0.32,,0,0,0,1971,,,2033,50.427,13.677,,,,,,,,,
Pocerady I 3,Lignite,lignite,PP,CZ,200,0.32,,0,0,0,1972,,,2033,50.427,13.677,,,,,,,,,
Pocerady I 4,Lignite,lignite,PP,CZ,200,0.32,,0,0,0,1972,,,2033,50.427,13.677,,,,,,,,,
Pocerady II 1,Lignite,lignite,PP,CZ,200,0.32,,0,0,0,1977,,,2033,50.427,13.677,,,,,,,,,
Pocerady II 2,Lignite,lignite,PP,CZ,200,0.32,,0,0,0,1977,,,2033,50.427,13.677,,,,,,,,,
Kosovo A 3,Lignite,lignite,PP,XK,200,0.32,,0,0,0,1970,,,2026,42.677,21.086,,,,,,,,,
Kosovo A 4,Lignite,lignite,PP,XK,200,0.32,,0,0,0,1971,,,2026,42.677,21.086,,,,,,,,,
Ostroleka B2,Hard Coal,coal,PP,PL,200,0.32,,0,0,0,1972,,,2026,53.104,21.612,,,,,,,,,
Kurakhov 3,Hard Coal,coal,PP,UA,200,0.32,,0,0,0,1972,,,2026,47.995,37.237,,,,,,,,,
Burshtyn 11,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1969,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 12,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1969,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 4,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1966,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 6,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1967,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 8,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1968,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 9,Hard Coal,coal,PP,UA,195,0.32,,0,0,0,1968,,,2026,49.21,24.667,,,,,,,,,
Burshtyn 3,Hard Coal,coal,PP,UA,185,0.32,,0,0,0,1966,,,2026,49.21,24.667,,,,,,,,,
Soma B 1,Lignite,lignite,PP,TR,179,0.32,,0,0,0,1981,,,2026,39.195,27.636,,,,,,,,,
Soma B 2,Lignite,lignite,PP,TR,179,0.32,,0,0,0,1982,,,2026,39.195,27.636,,,,,,,,,
Soma B 3,Lignite,lignite,PP,TR,179,0.32,,0,0,0,1985,,,2026,39.195,27.636,,,,,,,,,
Soma B 4,Lignite,lignite,PP,TR,179,0.32,,0,0,0,1985,,,2026,39.195,27.636,,,,,,,,,
Soma B 5,Lignite,lignite,PP,TR,179,0.36,,0,0,0,1991,,,2026,39.195,27.636,,,,,,,,,
Soma B 6,Lignite,lignite,PP,TR,179,0.36,,0,0,0,1992,,,2026,39.195,27.636,,,,,,,,,
Maritsa East 2 unit 1,Lignite,lignite,PP,BG,177,0.32,,0,0,0,1966,,,2038,42.256,26.132,,,,,,,,,
Maritsa East 2 unit 3,Lignite,lignite,PP,BG,177,0.32,,0,0,0,1967,,,2038,42.256,26.132,,,,,,,,,
Maritsa East 2 unit 4,Lignite,lignite,PP,BG,177,0.32,,0,0,0,1968,,,2038,42.256,26.132,,,,,,,,,
Zonguldak Eren I 1,Hard Coal,coal,PP,TR,174,0.4,,0,0,0,2010,,,2038,41.497,31.844,,,,,,,,,
Can I Onsekizmart 1,Lignite,lignite,PP,TR,174,0.4,,0,0,0,2003,,,2038,40.024,26.958,,,,,,,,,
Can I Onsekizmart 2,Lignite,lignite,PP,TR,174,0.4,,0,0,0,2003,,,2038,40.024,26.958,,,,,,,,,
Kangal 3,Lignite,lignite,PP,TR,171,0.4,,0,0,0,2000,,,2038,39.075,37.298,,,,,,,,,
Cayirhan 1,Lignite,lignite,PP,TR,168,0.32,,0,0,0,1987,,,2038,40.097,31.695,,,,,,,,,
Cayirhan 2,Lignite,lignite,PP,TR,168,0.32,,0,0,0,1987,,,2038,40.097,31.695,,,,,,,,,
Cayirhan 3,Lignite,lignite,PP,TR,168,0.32,,0,0,0,1987,,,2038,40.097,31.695,,,,,,,,,
Cayirhan 4,Lignite,lignite,PP,TR,168,0.32,,0,0,0,1987,,,2038,40.097,31.695,,,,,,,,,
Maritsa East 2 unit 2,Lignite,lignite,PP,BG,165,0.32,,0,0,0,1967,,,2038,42.256,26.132,,,,,,,,,
Catalagzi 1,Hard Coal,coal,PP,TR,163,0.32,,0,0,0,1989,,,2038,41.497,31.844,,,,,,,,,
Catalagzi 2,Hard Coal,coal,PP,TR,163,0.36,,0,0,0,1991,,,2038,41.497,31.844,,,,,,,,,
Kangal 1,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1989,,,2038,39.075,37.298,,,,,,,,,
Kangal 2,Lignite,lignite,PP,TR,163,0.36,,0,0,0,1990,,,2038,39.075,37.298,,,,,,,,,
Seyitomer 1,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1973,,,2038,39.578,29.894,,,,,,,,,
Seyitomer 2,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1973,,,2038,39.578,29.894,,,,,,,,,
Seyitomer 3,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1977,,,2038,39.578,29.894,,,,,,,,,
Seyitomer 4,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1989,,,2038,39.578,29.894,,,,,,,,,
Tufanbeyli 1,Lignite,lignite,PP,TR,163,0.4,,0,0,0,2016,,,2038,38.269,36.065,,,,,,,,,
Tufanbeyli 2,Lignite,lignite,PP,TR,163,0.4,,0,0,0,2016,,,2038,38.269,36.065,,,,,,,,,
Tufanbeyli 3,Lignite,lignite,PP,TR,163,0.4,,0,0,0,2016,,,2038,38.269,36.065,,,,,,,,,
Tuncbilek 4,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1977,,,2038,39.629,29.457,,,,,,,,,
Tuncbilek 5,Lignite,lignite,PP,TR,163,0.32,,0,0,0,1978,,,2038,39.629,29.457,,,,,,,,,
Walheim 2,Hard Coal,coal,PP,DE,160,0.32,,0,0,0,1967,,,2030,49.018,9.158,,,,,,,,,
Yunus Emre 1,Lignite,lignite,PP,TR,158,0.4,,0,0,0,2018,,,2030,39.984,31.321,,,,,,,,,
Yunus Emre 2,Lignite,lignite,PP,TR,158,0.4,,0,0,0,2020,,,2030,39.984,31.321,,,,,,,,,
Siersza B1,Hard Coal,coal,PP,PL,153,0.4,,0,0,0,2002,,,2028,50.206,19.463,,,,,,,,,
Siersza B2,Hard Coal,coal,PP,PL,153,0.4,,0,0,0,2002,,,2028,50.206,19.463,,,,,,,,,
Silopi 1,Lignite,lignite,PP,TR,138,0.4,,0,0,0,2009,,,2028,37.247,42.464,,,,,,,,,
Silopi 2,Lignite,lignite,PP,TR,138,0.4,,0,0,0,2015,,,2028,37.247,42.464,,,,,,,,,
Silopi 3,Lignite,lignite,PP,TR,138,0.4,,0,0,0,2015,,,2028,37.247,42.464,,,,,,,,,
Bolu-Goynuk 1,Lignite,lignite,PP,TR,138,0.4,,0,0,0,2015,,,2028,40.253,30.768,,,,,,,,,
Bolu-Goynuk 2,Lignite,lignite,PP,TR,138,0.4,,0,0,0,2015,,,2028,40.253,30.768,,,,,,,,,
ICDAS Celik 1,Hard Coal,coal,PP,TR,137,0.4,,0,0,0,2005,,,2028,40.44,27.105,,,,,,,,,
ICDAS Celik 2,Hard Coal,coal,PP,TR,137,0.4,,0,0,0,2005,,,2028,40.44,27.105,,,,,,,,,
ICDAS Celik 3,Hard Coal,coal,PP,TR,137,0.4,,0,0,0,2005,,,2028,40.44,27.105,,,,,,,,,
Katowice B1,Hard Coal,coal,PP,PL,135,0.36,,0,0,0,1999,,,2028,50.285,19.054,,,,,,,,,
"Alcudia II 5, GR III",Hard Coal,coal,PP,ES,130,0.36,,0,0,0,1997,,,2025,39.811,3.091,,,,,,,,,
"Alcudia II 6, GR IV",Hard Coal,coal,PP,ES,130,0.36,,0,0,0,1997,,,2025,39.811,3.091,,,,,,,,,
Oslomej,Lignite,lignite,PP,MK,125,0.32,,0,0,0,1980,,,2030,41.582,21,,,,,,,,,
