Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
AES Galabovo 1,Lignite,lignite,PP,BG,335,0.4,,0,0,0,2011,,,2038,42.159,25.909,,,,,,,,,
AES Galabovo 2,Lignite,lignite,PP,BG,335,0.4,,0,0,0,2011,,,2038,42.159,25.909,,,,,,,,,
Rovinari 4,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1976,,,2030,44.913,23.134,,,,,,,,,
Rovinari 5,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1977,,,2030,44.913,23.134,,,,,,,,,
Rovinari 6,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1979,,,2025,44.913,23.134,,,,,,,,,
Turceni 4,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1981,,,2025,44.665,23.41,,,,,,,,,
Turceni 5,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1983,,,2029,44.665,23.41,,,,,,,,,
Turceni 7,Lignite,lignite,PP,RO,330,0.32,,0,0,0,1987,,,2025,44.665,23.41,,,,,,,,,
?an-2 power station,Lignite,lignite,PP,TR,330,0.4,,0,0,0,2018,,,2041,40.024,26.958,,,,,,,,,
Nikola Tesla A 3,Lignite,lignite,PP,RS,329,0.32,,0,0,0,1976,,,2041,44.671,20.158,,,,,,,,,
Fiume Santo 3,Hard Coal,coal,PP,IT,320,0.36,,0,0,0,1992,,,2025,40.852,8.299,,,,,,,,,
Fiume Santo 4,Hard Coal,coal,PP,IT,320,0.36,,0,0,0,1993,,,2028,40.852,8.299,,,,,,,,,
Isalnita 7,Lignite,lignite,PP,RO,315,0.32,,0,0,0,1987,,,2025,44.386,23.717,,,,,,,,,
Kryvorizka 1,Hard Coal,coal,PP,UA,315,0.32,,0,0,0,1963,,,2041,47.543,33.66,,,,,,,,,
Nikola Tesla A 4,Lignite,lignite,PP,RS,308,0.32,,0,0,0,1978,,,2041,44.671,20.158,,,,,,,,,
Moneypoint 1,Hard Coal,coal,PP,IE,305,0.32,,0,0,0,1985,,,2025,52.608,-9.423,,,,,,,,,
