,,2040,2040
,,min,max
country,carrier,,
AT,heat_pump-all,12361,15451
BE,heat_pump-all,7950,9938
BG,heat_pump-all,5090,6363
CZ,heat_pump-all,7368,9210
DK,heat_pump-all,6363,7954
EE,heat_pump-all,2271,2839
FI,heat_pump-all,14893,18616
FR,heat_pump-all,68819,86024
DE,heat_pump-all,52796,65995
GR,heat_pump-all,8696,10870
HU,heat_pump-all,1558,1948
IE,heat_pump-all,3565,4456
IT,heat_pump-all,97489,121861
LT,heat_pump-all,4002,5003
NL,heat_pump-all,15767,19709
NO,heat_pump-all,17246,21558
PL,heat_pump-all,17300,21625
PT,heat_pump-all,8637,10796
SK,heat_pump-all,1489,1861
SI,heat_pump-all,8595,10744
ES,heat_pump-all,39440,49300
SE,heat_pump-all,22743,28429
CH,heat_pump-all,11687,14609
GB,heat_pump-all,12643,15804
