,,2030,2030,2040,2040
,,min,max,min,max
country,carrier,,,,
AT,heat_pump-all,9139,25759,17563.10399,29271.83998
BE,heat_pump-all,5878,16567,11295.58352,18825.97253
BG,heat_pump-all,3763,10608,7232.576578,12054.2943
CZ,heat_pump-all,5448,15355,10469.37752,17448.96254
DK,heat_pump-all,8181,30819,21012.65669,35021.09448
EE,heat_pump-all,2919,7272,4958.096154,8263.49359
FI,heat_pump-all,19148,29221,19923.59113,33205.98521
FR,heat_pump-all,88482,317118,216216.7392,360361.232
DE,heat_pump-all,39035,110024,75016.70011,125027.8335
GR,heat_pump-all,6429,18122,12355.58156,20592.63593
HU,heat_pump-all,1152,3246,2213.156623,3688.594371
IE,heat_pump-all,2635,7428,5064.845615,8441.409359
IT,heat_pump-all,72078,203162,138519.2654,230865.4424
LT,heat_pump-all,2959,8341,5686.949533,9478.249221
NL,heat_pump-all,11658,32858,22403.46042,37339.10069
NO,heat_pump-all,22174,26495,18064.47389,30107.45649
PL,heat_pump-all,12791,36053,24581.25298,40968.75496
PT,heat_pump-all,6386,17999,12272.28468,20453.8078
SK,heat_pump-all,1101,3104,2116.268342,3527.113904
SI,heat_pump-all,6354,17911,12211.75013,20352.91688
ES,heat_pump-all,29160,82190,56038.70389,93397.83982
SE,heat_pump-all,29242,47625,32471.41936,54119.03226
CH,heat_pump-all,8641,24355,16605.7013,27676.16884
GB,heat_pump-all,9348,26348,17964.84233,29941.40388
