,,2030,2030,,
,,min,max,,
country,carrier,,,,
AT,heat_pump-all,3993,6655,,
BE,heat_pump-all,2568,4280,,
BG,heat_pump-all,1644,2741,,
CZ,heat_pump-all,2380,3967,,
DK,heat_pump-all,5066,8444,,
EE,heat_pump-all,1934,3223,,
FI,heat_pump-all,11600,19333,,
FR,heat_pump-all,49157,81928,,
DE,heat_pump-all,17055,28425,,
GR,heat_pump-all,2809,4682,,
HU,heat_pump-all,503,839,,
IE,heat_pump-all,1151,1919,,
IT,heat_pump-all,31492,52487,,
LT,heat_pump-all,1293,2155,,
NL,heat_pump-all,5093,8489,,
NO,heat_pump-all,12685,21142,,
PL,heat_pump-all,5589,9314,,
PT,heat_pump-all,2790,4650,,
SK,heat_pump-all,481,802,,
SI,heat_pump-all,2776,4627,,
ES,heat_pump-all,12740,21234,,
SE,heat_pump-all,17895,29826,,
CH,heat_pump-all,3775,6292,,
GB,heat_pump-all,4084,6807,,
