,land_transport_electric_share
AT,0.0869
BE,0.2535
BG,0.0308
CH,0.1397
CY,0.1027
CZ,0.0885
DE,0.2528
DK,0.2228
EE,0.0816
ES,0.0988
FI,0.2479
FR,0.1817
GR,0.0427
HR,0.0265
HU,0.139
IE,0.1014
IT,0.1367
LT,0.1185
LU,0.1088
LV,0.0378
MT,0.1225
NL,0.2173
NO,0.7139
PL,0.0521
PT,0.1003
RO,0.1001
SE,0.6162
SI,0.0988
SK,0.1014
GB,0.2114
default,0.1
