,land_transport_ice_share
AT,0.57
BE,0.57
BG,0.72
CH,0.7
CY,0.66
CZ,0.79
DE,0.5
DK,0.62
EE,0.81
ES,0.83
FI,0.51
FR,0.59
GR,0.76
HR,0.92
HU,0.83
IE,0.63
IT,0.76
LT,0.68
LU,0.72
LV,0.72
MT,0.73
NL,0.58
NO,0
PL,0.9
PT,0.8
RO,0.79
SE,0.15
SI,0.7
SK,0.79
GB,0.5
default,0.72
