,land_transport_ice_share
AT,0.9131
BE,0.7465
BG,0.9692
CH,0.8603
CY,0.8973
CZ,0.9115
DE,0.7472
DK,0.7772
EE,0.9184
ES,0.9012
FI,0.7521
FR,0.8183
GR,0.9573
HR,0.9735
HU,0.861
IE,0.8986
IT,0.8633
LT,0.8815
LU,0.8912
LV,0.9622
MT,0.8775
NL,0.7827
NO,0.2861
PL,0.9479
PT,0.8997
RO,0.8999
SE,0.3838
SI,0.9012
SK,0.8986
UK,0.7886
default,0.9
