,land_transport_electric_share
AT,0.9474
BE,0.9046
BG,0.9919
CH,0.9368
CY,0.9945
CZ,0.9919
DE,0.9469
DK,0.8353
EE,0.9883
ES,0.9844
FI,0.9246
FR,0.9509
GR,0.9925
HR,0.9909
HU,0.9816
IE,0.9548
IT,0.9864
LT,0.9837
LU,0.8933
LV,0.9863
MT,0.9639
NL,0.8994
NO,0.6539
PL,0.9938
PT,0.9512
RO,0.9921
SE,0.865
SI,0.9841
SK,0.9906
UK,0.9419
default,0.95
