,land_transport_electric_share
AT,0.43
BE,0.43
BG,0.28
CH,0.3
CY,0.34
CZ,0.21
DE,0.5
DK,0.38
EE,0.19
ES,0.17
FI,0.49
FR,0.41
GR,0.24
HR,0.08
HU,0.17
IE,0.37
IT,0.24
LT,0.32
LU,0.28
LV,0.28
MT,0.27
NL,0.42
NO,1
PL,0.1
PT,0.2
RO,0.21
SE,0.85
SI,0.3
SK,0.21
GB,0.5
default,0.28
