node,2030,2040
AT,5051040,5502222
BE,6023369,8432806
BG,3303131,3303131
CH,4692741,6912294
CZ,5532417,7745384
DE,48362509,64922755
DK,2562931,3872874
EE,714089,1095295
ES,23866294,33412811
FI,3435423,4836662
FR,34557149,51115783
GR,5260940,6552772
HR,1631982,2676099
HU,3562468,7124936
IE,2290070,5274633
IT,40566780,56765321
LT,1500111,2800206
LU,426661,2133305
LV,719611,719611
NL,8531000,12944789
NO,2964138,3120277
PL,23026982,37749152
PT,5155388,8980055
RO,6131550,9132972
SE,5132003,5132003
SI,1209054,2369490
SK,2282190,3392856
GB,35257746,37988247
