,land_transport_electric_share
AT,0.09
BE,0.25
BG,0.1
CH,0.14
CY,0.1
CZ,0.09
DE,0.25
DK,0.22
EE,0.08
ES,0.1
FI,0.25
FR,0.18
GR,0.04
HR,0.03
HU,0.14
IE,0.1
IT,0.14
LT,0.12
LU,0.1067
LV,0.1
MT,0.12
NL,0.22
NO,0.5
PL,0.05
PT,0.1
RO,0.1
SE,0.62
SI,0.1
SK,0.1
UK,0.3
default,0.1
